"#Event name"  :  "Category"
"RT_SRC_NAT_ALARM_RAISE_LS"  :  "firewall"
"RT_SRC_NAT_RULE_ALARM_CLEAR"  :  "firewall_cp"
"RT_SRC_NAT_RULE_ALARM_RAISE"  :  "firewall"
"RT_SRC_NAT_RULE_ALARM_CLEAR_LS"  :  "firewall_cp"
"RT_SRC_NAT_RULE_ALARM_RAISE_LS"  :  "firewall"
"RT_STATIC_NAT_RULE_ALARM_CLEAR"  :  "firewall_cp"
"RT_STATIC_NAT_RULE_ALARM_RAISE"  :  "firewall"
"RT_STATIC_NAT_RULE_ALARM_CLEAR_LS"  :  "firewall_cp"
"RT_STATIC_NAT_RULE_ALARM_RAISE_LS"  :  "firewall"
"RT_FLOW_SESSION_CLOSE"  :  "firewall"
"RT_FLOW_SESSION_CLOSE_LS"  :  "firewall"
"RT_FLOW_SESSION_CREATE"  :  "firewall"
"RT_FLOW_SESSION_CREATE_LS"  :  "firewall"
"RT_FLOW_SESSION_DENY"  :  "firewall"
"RT_FLOW_SESSION_DENY_LS"  :  "firewall"
"FLOW_APP_POLICY_VIOLATION"  :  "firewall_cp"
"FLOW_APP_POLICY_VIOLATION_LS"  :  "firewall_cp"
"FLOW_DSTIP_POLICY_VIOLATION"  :  "firewall_cp"
"FLOW_DSTIP_POLICY_VIOLATION_LS"  :  "firewall_cp"
"FLOW_HIGH_WATERMARK_TRIGGERED"  :  "firewall_cp"
"FLOW_HIGH_WATERMARK_TRIGGERED_LS"  :  "firewall_cp"
"FLOW_IP_ACTION"  :  "firewall_cp"
"FLOW_IP_ACTION_LS"  :  "firewall_cp"
"FLOW_LOW_WATERMARK_TRIGGERED"  :  "firewall_cp"
"FLOW_LOW_WATERMARK_TRIGGERED_LS"  :  "firewall_cp"
"FLOW_MCAST_RPF_FAIL"  :  "firewall_cp"
"FLOW_POLICY_VIOLATION"  :  "firewall_cp"
"FLOW_REASSEMBLE_FAIL"  :  "firewall_cp"
"FLOW_REASSEMBLE_SUCCEED"  :  "firewall_cp"
"FLOW_SRCIP_POLICY_VIOLATION"  :  "firewall_cp"
"FLOW_MCAST_RPF_FAIL_LS"  :  "firewall_cp"
"FLOW_POLICY_VIOLATION_LS"  :  "firewall_cp"
"FLOW_REASSEMBLE_FAIL_LS"  :  "firewall_cp"
"FLOW_REASSEMBLE_SUCCEED_LS"  :  "firewall_cp"
"FLOW_SRCIP_POLICY_VIOLATION_LS"  :  "firewall_cp"
"RT_SCTP_ABORT_ASSOCIATION"  :  "firewall_cp"
"RT_SCTP_ABORT_ASSOCIATION_LS"  :  "firewall_cp"
"RT_SCTP_CREATE_ASSOCIATION"  :  "firewall_cp"
